credit_score,annual_income,loan_amount,loan_term_years,risk_label
814,120236,15276,3,0
630,22005,5574,2,0
617,17570,48596,5,0
751,211832,47689,2,0
821,36702,26884,3,0
769,148562,12295,5,0
728,52934,34632,3,0
729,52598,23920,5,0
742,85027,23870,5,0
737,29519,33944,3,1
714,66569,28343,4,0
705,44126,13141,3,0
696,20818,21752,5,0
662,78431,31611,3,0
685,48501,30102,3,0
615,52806,27620,5,0
695,22739,34334,2,0
650,213869,21382,5,0
644,120737,26786,3,0
708,129485,-8755,5,1
769,46893,20503,5,0
745,15012,32639,2,0
621,285596,21096,4,0
650,57017,20337,3,0
747,32891,14585,3,0
650,83570,35033,2,0
688,152313,30484,5,0
727,58780,33254,4,0
651,166518,7737,3,0
705,142400,23395,4,0
633,25308,22198,4,0
669,34925,22194,5,0
715,128801,18839,5,0
620,6835,21538,5,0
722,53126,33496,3,1
699,19059,5871,4,0
727,40894,42772,4,0
711,47143,29838,3,0
768,44954,24576,2,0
706,38491,34068,5,0
678,24891,10481,3,1
706,374568,18352,5,0
727,266723,23789,4,0
702,23631,38655,3,0
702,212286,24535,2,0
664,43496,29500,5,0
666,66393,19104,4,1
629,56918,29868,4,0
787,35319,41772,2,1
637,131542,34955,2,0
665,66218,24185,5,0
664,40894,31754,4,0
744,21085,30775,2,1
685,29293,30065,3,0
762,16105,36119,2,0
666,60462,36044,3,0
713,22986,23728,4,0
658,48414,31418,5,0
807,179168,21169,4,0
640,156285,15769,4,0
715,58347,22305,4,0
731,55844,24237,4,1
720,269385,8384,5,1
690,90817,33603,2,0
693,46062,-2673,5,0
702,19133,52148,5,0
692,82051,40018,5,0
748,116245,22389,5,0
810,36122,25094,2,0
672,75581,28029,4,0
631,44763,19108,2,0
695,51677,26926,2,0
828,8182,23560,4,0
659,50140,24057,2,0
781,130026,26814,5,0
783,36129,11864,5,0
672,62443,25395,4,0
728,32703,26634,4,0
781,79885,26288,4,0
681,50351,22841,5,0
689,28243,36378,4,0
670,173866,21463,2,0
649,125887,27273,2,0
667,36903,37972,3,0
638,89163,24206,3,0
701,92035,27144,4,0
661,100091,24036,3,0
711,15438,37373,5,0
622,133958,22422,5,0
716,37958,37833,2,0
741,44969,23964,2,0
600,494007,16405,3,0
718,76229,31793,3,0
761,43955,21953,5,0
639,10257,31205,2,0
783,182008,-2294,3,0
720,20411,25052,5,0
664,26829,20403,2,0
697,45932,14367,5,0
727,185930,19467,5,0
703,111145,19262,2,1
726,52771,24520,5,0
653,76621,11326,3,0
708,37037,28162,5,1
629,66951,38662,3,0
694,63492,27809,4,0
654,129964,33089,4,1
663,129799,35945,4,0
761,88892,37364,5,0
754,44807,43701,4,0
730,108386,20007,4,1
645,55627,17815,5,0
684,25196,32834,2,0
760,43363,32082,5,1
707,64062,32756,3,0
815,124016,43892,5,0
719,51698,25113,2,0
709,22757,29261,4,0
684,62654,15196,5,0
706,65562,46353,4,0
692,69471,21634,3,0
735,124978,21917,2,1
747,135284,21532,4,0
660,37221,18551,4,0
633,36573,17705,4,1
608,26051,19762,4,0
725,104720,11342,5,0
644,190814,17146,2,0
592,46533,44489,2,0
719,49358,32356,4,0
824,193576,34259,2,0
699,89719,36772,4,0
741,84879,43341,3,0
704,23092,7285,3,0
695,103051,12701,3,0
745,28472,16962,2,0
685,24167,20302,4,1
713,45368,21994,5,0
716,37472,20530,5,1
666,50147,27193,3,0
749,18905,25352,3,0
691,128933,17771,2,0
662,147583,3244,5,0
726,12608,15071,2,0
655,130975,19507,3,1
701,31306,22529,4,0
699,118845,13703,4,0
754,56683,20091,4,0
723,61268,13690,3,0
698,51633,23741,2,0
740,157897,14269,4,0
769,22210,16510,5,0
727,97369,11913,5,0
700,144504,23464,3,1
634,106199,16335,5,0
646,384523,34067,5,0
684,39216,29058,3,0
669,128777,24301,2,0
690,55002,17025,4,0
702,160608,28805,3,0
726,59506,31907,5,0
696,43901,26426,4,0
724,170221,41037,4,0
703,40406,29596,4,0
601,19337,34136,3,0
653,39597,26335,4,0
692,98245,31756,2,0
639,182340,17032,5,0
729,65440,20416,3,1
776,171880,28493,3,0
760,20200,28420,4,0
689,41998,30076,5,0
774,47531,36003,4,0
707,54630,10750,4,0
683,64040,15255,3,1
669,104060,27295,2,0
684,41946,17756,5,0
680,66917,58777,5,0
708,57751,30157,5,0
708,28546,24216,5,0
700,54669,19845,2,0
721,53373,20198,3,0
759,52466,25301,2,0
747,61414,26119,4,0
625,63610,20433,3,0
572,42368,22268,2,0
746,165739,38442,5,0
631,23492,38845,5,0
688,33631,27520,3,0
641,553474,11587,2,1
609,26097,30385,3,0
727,20272,40542,5,0
737,107751,38697,2,0
671,11365,32344,5,0
570,49601,39224,3,0
672,333253,25533,3,0
719,17396,31281,3,0
626,12264,18192,3,0
709,18045,27922,3,0
699,122846,38295,4,0
728,147240,19105,3,0
705,39732,16385,3,0
651,103421,25974,5,0
759,182080,22733,3,0
692,250165,31491,2,0
698,49164,20467,3,0
653,9497,42184,4,0
677,31048,12103,3,0
655,42555,37537,5,0
691,48671,17351,2,0
785,51519,7040,2,0
631,146549,27378,3,0
619,165966,22453,3,0
773,52190,13903,3,0
689,144175,8186,3,0
666,79708,24916,5,0
751,63045,34758,5,0
669,123653,30849,2,0
791,63436,25567,3,0
733,310596,29788,5,0
675,18944,24727,5,0
807,39650,10702,2,0
669,54110,10791,2,0
737,85098,22968,4,0
714,165110,23393,5,0
765,58716,33509,2,0
778,19191,32573,5,0
701,117478,31051,5,0
662,109531,22197,3,1
722,12663,11193,3,0
666,59692,29120,3,0
800,16779,30251,3,0
706,35181,1114,5,0
681,29078,16656,4,1
709,114394,18089,4,0
632,65740,26183,4,0
651,21408,16966,5,0
760,121061,24618,4,0
667,19014,22894,5,0
647,77970,23408,2,0
726,31219,17836,4,0
759,44687,18610,5,0
735,89627,14197,2,0
749,90867,28800,3,0
662,174481,30711,2,0
628,56061,17293,2,0
775,76508,40206,4,0
683,42184,21853,3,0
687,69257,40301,3,0
766,85100,18578,4,0
727,55345,4734,2,0
722,14143,29021,5,1
808,78055,27485,4,1
667,80149,25343,2,0
746,34747,18577,5,0
702,21428,24654,4,0
713,194989,19887,4,1
776,88712,21976,3,0
725,49848,33416,3,0
726,24109,26842,3,0
753,31024,31099,5,0
681,169748,22681,4,0
658,66844,21579,3,0
647,38543,13465,3,0
601,90016,21299,4,0
802,31209,-8211,5,1
644,198923,19097,3,1
688,176705,24181,2,0
686,41222,30636,5,0
715,36209,22313,3,0
740,7372,28476,2,0
743,18301,3202,3,0
670,20505,24431,5,0
691,66712,8204,4,0
714,46120,12916,4,0
687,20409,23128,5,0
780,47813,37762,3,0
724,89703,28712,5,0
736,91333,25182,2,0
733,13098,24804,3,0
758,54035,17863,5,0
709,19797,19560,4,0
635,123177,29273,5,1
719,112119,11146,3,0
667,29189,30930,5,0
673,32440,21114,4,0
729,41397,33255,2,0
761,9875,34610,5,0
701,78336,8269,5,0
715,48133,19184,2,0
785,130110,16444,5,0
712,24866,6872,4,0
830,36486,14674,2,0
728,17939,49412,4,0
611,26811,31095,4,0
737,23258,44172,4,0
719,132823,33290,3,0
764,34248,17581,2,0
733,66127,21182,3,0
693,44151,30884,3,0
638,21686,29375,5,0
689,52331,19226,2,0
657,96691,9900,5,0
670,22783,57877,3,0
729,114380,23588,5,0
783,30340,21742,4,0
719,40684,26133,3,0
640,91541,22572,4,0
722,35215,26227,2,0
759,61701,37869,5,0
669,46548,23754,3,1
693,66402,13372,2,0
700,8914,23383,4,0
660,13852,20355,5,0
732,98004,39238,5,0
693,137275,36711,3,0
720,28900,26075,5,0
655,49255,12212,5,0
678,75794,12741,4,0
736,104252,25151,4,0
681,11823,28363,4,0
786,29471,21253,2,0
680,45886,20198,2,0
711,105083,19072,5,0
746,441858,24766,2,1
629,49890,1172,3,0
611,19426,13986,4,0
623,82604,18729,2,0
763,172266,37075,5,0
672,65278,16861,4,0
827,28989,26804,2,0
671,128848,27265,4,1
709,101807,37979,2,0
777,26347,37625,5,0
800,81238,24424,2,0
803,132961,20245,2,0
760,154123,18361,2,0
751,56774,22589,4,0
729,44960,20659,2,0
738,159822,30536,2,0
672,22739,29203,2,0
659,85038,30918,4,0
699,20009,37592,5,0
691,140407,43628,5,0
677,48706,26246,5,0
734,165192,35994,2,0
747,88710,21483,4,0
704,22503,36850,5,0
773,187156,35615,5,0
642,207108,35084,5,0
690,121276,25940,3,0
664,32556,18316,4,0
606,46872,11054,3,0
695,67261,24599,2,0
693,34099,40330,5,0
775,231857,21901,2,0
731,67202,32851,4,1
648,6886,33439,2,0
792,78549,22163,2,1
761,45318,38163,5,1
729,56390,-4086,4,0
688,44582,12772,2,0
652,114192,15843,3,0
681,146642,16802,5,0
754,75089,28362,3,0
794,45640,27900,5,0
777,57926,28939,2,0
675,60820,30960,5,0
644,31509,15498,2,0
707,95143,12818,3,0
611,86511,28963,2,0
716,205325,18697,5,0
692,163452,9295,5,0
676,34594,34713,5,0
620,115409,38951,3,0
725,27979,40571,4,0
673,104479,26870,3,0
641,39604,31259,2,0
556,26407,38698,2,0
698,74909,18585,3,0
788,7046,36106,3,0
783,14753,27753,2,0
677,51948,34137,2,0
669,63956,26860,2,0
723,44557,37962,4,0
650,16923,27235,4,0
715,31122,10160,3,0
738,81876,39519,3,0
761,95361,15524,4,0
694,59102,37530,5,1
689,151065,24097,4,0
656,82282,36760,3,0
658,32926,36347,4,0
688,47839,29301,5,0
718,19490,30085,3,0
745,54912,29226,2,0
659,145754,4861,3,0
774,103593,26183,4,0
686,183800,13839,4,1
698,46990,26711,5,0
662,175760,13570,4,0
578,51295,13150,5,0
744,194321,41049,3,0
736,58836,35694,4,0
685,105428,24958,3,0
703,194870,26847,2,1
725,51290,22520,2,0
621,71304,30698,5,0
673,167894,18239,4,0
739,53830,34937,3,0
637,20812,22469,3,0
714,332503,20801,4,0
632,41117,25217,3,0
723,67982,19088,4,0
698,150965,28286,4,0
619,36798,19626,2,0
758,26734,29685,4,0
663,73349,37160,3,0
659,14264,17806,4,0
710,47556,23694,2,0
757,72840,29613,2,0
649,48244,20641,5,0
703,17417,29643,3,0
721,214345,30553,4,0
734,65044,35832,3,0
708,188136,18940,3,0
681,48628,15572,4,0
658,29613,21924,2,0
704,74261,15322,3,0
646,50381,30644,5,0
553,23336,13382,3,0
721,194041,48330,2,1
745,36394,37959,5,0
581,13736,25125,5,0
649,173257,33673,5,0
730,39997,8631,5,0
802,36817,50233,4,0
701,14584,19097,4,0
663,241048,23795,4,0
690,21341,6440,5,0
768,62740,29862,2,0
667,124255,13936,3,0
660,83899,26016,5,1
675,57083,19557,2,0
652,15346,14222,3,0
706,31326,16956,5,0
781,69580,27257,3,0
716,31896,12185,4,0
687,70452,17511,4,0
685,103300,31632,4,0
621,129314,51024,2,0
744,22450,29775,4,0
696,347082,15827,2,0
690,110634,21328,4,0
859,59792,25315,4,0
714,143147,21505,4,0
662,397252,34030,2,0
678,18939,27174,3,0
757,50000,34078,2,0
705,8930,21855,5,0
628,69851,38255,5,0
745,80202,23335,2,0
666,58027,15288,2,0
793,35467,46773,3,1
754,11618,6750,2,0
677,80726,17612,4,0
764,191826,18729,3,0
703,37316,50083,2,0
742,85139,43068,2,0
724,17076,39939,5,0
657,86316,21693,3,0
667,43708,49261,5,0
751,32534,28683,2,0
683,32588,34772,3,0
679,43700,26796,4,0
652,81303,24505,2,0
721,20957,22482,2,0
803,43578,22903,5,0
646,57920,31084,4,0
701,24853,28671,2,0
770,252037,24685,5,0
696,30248,40095,5,0
722,35047,-4667,2,0
646,27374,30098,3,1
721,252403,32177,2,0
690,93183,36469,4,0
749,28303,24351,2,0
759,145071,27079,3,0
829,70302,34859,5,0
728,73556,39911,4,0
716,45452,21994,4,0
709,32874,27669,4,0
682,78449,41785,4,0
716,38712,3759,3,0
685,256120,18099,3,0
708,21689,39658,3,0
765,204623,35925,3,0
649,54772,30224,5,1
756,76059,20514,2,0
765,116602,16181,3,0
694,36163,19087,2,0
593,119539,40480,4,0
669,6863,18715,5,0
764,33658,26014,5,0
698,28588,17462,2,0
650,21964,33427,2,0
674,50414,19612,2,0
742,81519,24024,5,0
727,105043,8166,3,0
688,72598,8866,5,1
681,35152,25076,3,0
680,80435,11748,4,0
653,66133,46050,3,0
780,126607,4384,2,0
683,111474,16998,3,1
760,61351,25167,3,0
776,29207,21348,5,0
749,35512,13958,2,0
678,38567,15420,4,0
720,46526,15093,3,0
698,74194,22132,4,0
654,106100,44519,2,0
716,57474,25779,3,0
641,60651,36829,5,0
759,67147,30069,4,0
676,39627,36138,5,0
710,28557,-2999,4,0
714,14700,21955,2,0
687,34333,38071,3,0
729,87423,19282,4,0
676,34121,42624,5,0
743,49501,39838,4,0
632,86954,20308,4,0
706,90812,19968,4,0
796,25244,14863,4,0
649,132939,18704,4,0
666,147543,12674,4,0
725,24248,29288,5,0
708,30974,10439,4,0
717,155262,31037,4,0
724,53237,31280,4,0
731,10139,8387,3,0
755,19540,40498,2,0
720,49045,30136,2,0
687,23613,32496,2,0
733,43013,17413,5,0
794,61446,31223,5,0
693,192876,36263,5,0
651,47459,24013,4,0
755,141214,45019,2,0
693,187776,25440,4,0
591,188612,36407,3,1
742,75192,27930,2,0
673,12448,30855,3,0
695,86565,8286,3,0
716,138513,28710,4,0
709,56114,17650,2,1
735,241751,16536,3,0
678,119117,42441,2,0
725,94336,22862,3,0
687,142786,14966,3,0
736,78174,21408,4,0
730,8149,11995,2,0
653,40162,39338,4,0
754,156019,18043,4,0
673,31380,30292,4,0
740,50072,38561,4,0
718,25955,19998,4,0
791,249481,30320,3,0
688,229852,14699,2,0
682,29522,49457,2,0
699,67362,34363,4,0
684,34738,23073,2,0
739,97924,17271,3,0
619,90016,23860,4,1
647,114618,21600,5,0
646,78083,44529,5,0
747,626763,12744,3,0
785,26308,26348,3,0
694,15237,24816,5,0
691,43718,23825,4,0
703,17079,23913,3,0
758,18142,23839,5,0
653,26874,33730,4,0
711,28631,31089,3,0
748,27897,29189,2,0
725,90633,-5339,2,0
709,39936,27997,2,0
750,51864,8443,4,0
564,122441,31463,3,0
733,32433,39744,5,0
667,48453,15737,3,0
608,80226,22382,2,1
725,12666,19006,2,0
768,8884,37354,4,1
693,78975,25950,5,0
747,88752,42283,4,0
780,312192,29137,5,1
765,67946,27424,3,0
781,115357,25682,4,1
737,51206,33179,4,0
703,75946,7623,4,1
619,227249,25853,2,0
687,10946,24299,2,0
657,83357,32254,5,0
808,330535,23122,3,0
691,75028,14612,4,0
706,224236,25073,2,0
727,36193,14171,4,0
702,58358,5747,5,1
784,61501,32271,5,0
668,10157,30790,3,0
709,23516,29670,5,0
662,24896,38029,4,0
633,115572,18349,3,0
669,120297,10688,3,0
698,77592,24299,2,0
678,115760,21524,4,0
665,52505,16577,5,0
629,156614,24201,2,0
695,60296,18883,4,0
624,62710,6639,4,0
738,48413,20588,3,0
704,103524,13636,3,0
627,42746,27316,4,0
684,130763,18439,2,0
662,24204,36116,3,0
715,24856,41038,3,0
767,103770,31793,4,0
606,55779,9489,4,0
705,41642,40051,3,0
691,122032,40757,2,1
733,36834,25187,3,0
710,51013,38229,4,1
662,183392,19483,3,0
684,205112,6337,4,0
660,210642,17397,3,0
753,47776,42293,4,1
701,160261,10089,4,0
795,28024,24995,2,0
696,28983,25341,4,0
664,9132,19870,3,0
624,228272,20564,4,0
609,29995,25722,5,1
620,54109,19378,3,0
713,28904,10779,2,0
725,104415,27150,3,0
620,44333,35733,2,0
744,21081,33695,5,0
675,85248,16902,2,0
707,19015,12487,4,0
780,30640,22158,5,0
744,11097,40677,5,1
686,19164,31455,2,0
655,69066,32039,3,0
592,12436,33898,2,1
664,18307,29207,2,0
689,59760,26206,5,0
650,38758,31623,4,0
693,294675,19538,3,0
703,259657,10855,2,0
688,29901,32229,4,0
667,93499,37377,4,0
708,109035,13817,3,0
722,37123,33219,4,1
645,18098,41807,2,0
770,59287,24977,5,0
695,52141,16819,4,0
700,42251,26230,5,0
735,85293,19494,3,0
711,32840,18832,3,0
747,23822,29331,4,0
714,65333,8962,5,0
669,81534,10560,2,0
718,23357,25192,5,0
642,125803,24776,4,0
705,14524,28435,5,0
698,37703,43752,5,0
689,48707,26045,3,0
693,35990,30981,4,0
605,38099,15244,5,0
672,267495,32679,4,0
704,30311,19736,2,0
707,422091,25714,4,1
648,84940,23911,2,1
763,64449,35329,4,0
656,87639,11900,4,0
748,453133,2167,5,0
721,27041,22865,5,0
667,24432,29685,2,0
788,32731,26522,2,0
640,61433,37322,3,1
745,15053,29373,5,0
750,60953,19361,2,0
666,232080,1745,5,0
769,67583,22626,4,0
687,47375,35279,3,0
714,36514,21079,5,0
713,122861,25283,5,0
693,30925,29213,5,0
740,262266,14847,5,0
739,281162,31232,2,0
612,73526,41371,2,0
765,59325,23271,3,0
616,136561,13709,4,0
751,143751,24333,4,0
756,31420,2756,3,0
645,39291,28369,4,0
679,20787,29522,2,1
644,83054,41756,5,0
689,102058,23060,4,0
684,20334,29084,5,0
738,41599,16387,5,1
765,20377,21435,2,0
769,29171,9748,5,0
671,93042,23052,4,0
689,33296,21946,2,0
615,47067,27991,3,0
659,16287,18764,2,0
748,69535,25833,4,0
780,57790,21666,2,1
638,33417,21685,4,0
670,51471,25803,4,0
698,69164,25405,2,0
714,31197,32611,4,0
659,18379,23793,3,0
721,253840,21501,4,0
676,36075,23191,3,0
699,55414,17853,3,0
727,134412,21400,4,0
700,1007763,45311,5,0
678,22123,15873,3,1
694,85807,22213,3,1
695,33994,21125,2,1
681,38908,22528,3,0
687,33652,21687,3,0
779,24330,27792,3,1
728,57928,7898,3,0
685,18405,35371,5,0
734,127700,31325,3,0
683,62567,12571,4,0
758,83947,2309,5,0
718,41235,15229,3,0
694,44633,22573,4,0
722,75361,50802,4,0
621,23594,30432,5,0
643,44963,6924,5,0
640,30100,18103,4,0
707,29364,24467,5,0
786,11071,27536,5,0
811,174811,11852,2,0
731,34570,23650,5,0
725,151857,17823,2,0
609,140791,13962,5,0
672,21401,27595,5,0
660,25066,32738,4,0
668,464353,33410,2,0
691,242981,30743,5,0
676,58383,20026,3,0
601,73563,32145,5,0
737,36146,28090,4,0
646,84616,26339,4,1
711,33733,18883,4,1
803,11779,20031,2,0
654,20800,25738,2,0
573,60893,49398,2,0
685,24225,28012,3,1
755,56736,18888,2,0
797,25343,16676,4,0
638,32020,20082,2,0
724,118483,46772,2,0
676,72983,21007,5,0
694,59413,34068,2,0
832,120954,21240,5,0
624,87946,27611,2,0
712,190470,32917,5,0
723,41444,19280,4,0
754,42458,18588,2,0
704,21144,41588,4,0
715,42481,34845,2,1
680,129549,32906,3,0
713,169395,32872,3,0
682,129087,29595,4,0
731,14251,45177,4,0
681,142417,25439,3,0
718,13755,30772,3,0
698,122822,10490,5,0
756,44612,16750,2,0
697,105032,12991,3,0
611,20620,37740,4,1
763,152807,-525,4,0
654,18546,20976,3,1
667,35074,-4937,4,0
670,26944,16687,2,0
768,14714,20090,5,0
593,64577,38848,2,0
856,253944,28966,5,0
752,505611,16668,5,0
711,64713,35659,3,0
697,146289,25178,4,0
714,72090,25375,5,1
726,89241,12973,3,0
732,45537,15099,4,1
727,69986,16749,4,0
704,92040,25464,5,0
690,37693,25778,4,0
692,56274,40440,2,0
690,57139,28850,4,0
756,115974,-2075,2,0
729,25518,27626,4,0
552,57455,10499,5,0
732,276400,15340,5,0
709,151941,16878,3,0
699,176194,18366,2,0
680,61055,11248,2,0
756,77404,27034,5,0
747,133490,10891,5,0
661,208606,28566,5,0
720,12565,47369,2,0
651,20902,11706,3,0
631,170681,22154,2,0
668,47977,-234,5,0
743,34983,21990,3,0
747,21953,31427,4,0
725,38406,32206,4,0
736,19498,25773,5,0
725,318977,33892,3,0
667,58809,50460,5,0
721,57161,42123,2,0
740,95842,19774,2,0
737,129298,10488,3,0
759,127607,20938,5,0
735,141336,15530,5,1
717,36146,29513,4,0
753,47179,13188,3,0
698,110771,24271,5,0
655,39264,33380,2,0
691,59630,23993,5,0
662,82372,15536,5,0
666,112212,36748,2,0
692,14441,6210,2,0
660,106063,21722,5,1
684,49663,24583,2,0
605,105447,25159,4,1
710,111473,26804,4,0
700,216713,31104,4,0
659,176797,24645,2,0
732,175827,21319,2,0
746,190029,20924,2,0
619,75591,18884,3,0
661,61435,32875,2,1
661,120361,18534,4,0
653,107545,33467,4,0
741,46758,25189,4,0
690,82773,19787,3,0
686,58216,31184,5,1
599,30237,17725,4,0
731,168109,31381,3,0
638,62577,27127,5,0
702,308342,19036,3,0
713,16311,30286,3,0
768,38352,30465,5,0
634,61458,36575,2,0
549,148732,34661,2,0
709,82419,29912,4,0
790,76755,13724,5,0
761,24298,49485,4,0
710,23728,10963,3,0
675,77497,34492,2,1
740,20104,29312,4,0
651,39124,13258,4,0
723,89387,23756,2,1
725,27286,24212,3,0
753,216270,38055,4,0
837,159396,17866,4,0
719,17032,22380,5,0
674,28398,1639,5,0
698,9617,42347,2,0
611,32013,14295,2,0
665,110537,28269,3,0
679,42996,23985,3,1
673,86563,24019,4,0
707,17714,33098,5,1
658,113366,41712,3,0
756,38403,27514,4,0
700,60459,31550,4,0
699,55586,28288,2,1
683,21650,35175,5,0
707,23802,20370,4,0
741,129863,35753,2,0
656,82387,36104,4,0
667,138695,35825,5,0
684,77631,18398,4,1
632,67130,23316,4,0
659,15050,27394,3,0
676,48228,11291,3,0
743,58576,40949,2,1
713,285639,24877,4,1
709,103731,27839,2,0
742,204607,19229,5,0
693,96570,11731,2,0
719,33892,18959,4,0
694,65755,27192,3,0
713,72328,31734,3,0
670,28245,26617,2,0
578,44023,28467,3,0
693,50786,21629,4,0
771,216316,29962,4,0
746,11332,39828,5,0
748,157102,32047,3,1
761,28298,33095,3,0
704,19976,27940,5,0
709,153883,9968,2,1
669,107529,14553,5,0
684,163344,29548,3,0
730,113613,24890,2,1
760,311101,29398,4,0
693,93618,41764,4,0
677,52829,32260,5,0
700,78774,37588,4,0
730,161906,25946,3,0
627,32096,16927,5,1
585,35542,24421,3,0
672,46762,16952,3,1
638,11118,40582,2,1
674,66867,32903,2,0
692,13241,30205,2,0
677,62470,37359,4,0
772,119638,4799,2,0
716,40884,30881,3,0
715,229049,11893,5,1
731,18612,24927,5,0
643,155283,21882,3,0
751,102755,31617,4,0
696,15171,27281,5,0
733,523679,38451,3,0
646,56897,18981,3,1
622,29673,32091,3,0
740,19425,26622,5,0
718,50210,8647,5,0
654,54072,15813,2,0
656,64998,23501,2,0
756,47181,36122,3,0
640,99367,29637,3,0
782,43909,13324,3,0
654,12733,23596,3,0
731,53130,45178,5,0
683,9009,26112,2,0
730,79460,21726,4,0
672,27352,29917,3,0
691,68233,32633,2,0
702,171315,20438,3,0
649,28029,30025,5,0
737,139945,21711,4,0
674,42331,32193,2,0
688,243422,26696,2,1
650,44706,29819,4,0
571,30564,17408,5,0
690,103755,16787,4,0
820,42250,34454,2,0
739,30541,24206,4,0
699,40852,27850,5,0
686,57775,21936,5,0
701,175210,33987,3,0
727,12742,18921,4,1
640,60989,23643,4,0
755,98708,32859,2,0
735,69895,36729,5,0
735,170739,19762,4,0
721,56416,44596,2,0
700,51655,28132,3,0
733,96169,14570,4,0
729,64825,28690,4,0
682,43812,21170,2,0
671,90482,29340,2,0
705,35524,24571,5,0
777,36719,25742,5,1
638,39245,15884,5,0
626,176743,34900,4,0
708,4551,13438,2,0
702,82164,13912,5,0
708,61538,28673,4,0
712,15604,41028,5,0
688,76709,21474,3,1
774,87605,32009,4,0
619,95962,35733,5,1
658,7176,33146,5,0
694,178637,21887,3,0
617,33183,14089,3,0
691,103699,2924,5,0
783,108321,22371,5,0
701,29692,36780,2,0
711,101556,13758,5,0
636,43985,32002,5,1
669,11417,15498,2,0
681,152389,26060,2,0
684,32207,32077,5,0
764,30224,18405,2,0
727,43371,26704,4,0
644,74443,20849,3,0
712,57192,32051,4,0
724,92823,27353,3,0
757,20504,25565,3,0
779,33060,40583,5,0
649,54567,31623,3,0
659,273295,18096,4,0
637,54663,24141,5,0
688,142654,24241,2,0
723,61749,25803,4,0
749,40662,50245,5,0
696,49149,28708,3,0
684,52326,4640,4,0
707,97043,19572,3,1
658,179815,5676,5,0
804,79837,21702,5,0
619,154764,5126,2,0
709,27671,16284,2,0
801,42971,9792,4,0
700,33542,28841,2,0
690,76999,25005,3,0
682,44928,28029,3,0
690,107346,23954,2,0
768,28429,11057,2,1
589,61971,30135,2,0
776,103723,44222,4,0
628,11473,29092,4,0
686,326865,20740,3,0
678,47737,10719,4,0
729,11848,15919,4,0
620,67946,29530,5,1
723,61497,35731,3,1
801,56077,27608,3,0
631,132316,32998,2,0
709,108875,32076,5,0
666,75985,30065,2,0
721,85830,18415,4,0
700,55078,26739,3,0
667,247803,16516,4,0
724,18336,25174,4,0
790,66951,28308,5,0
690,63071,41787,5,0
735,114762,11902,3,0
635,30482,29815,3,1
652,14839,39812,5,0
723,67877,32588,5,0
774,74980,33329,5,0
717,197141,30876,5,0
684,21670,37983,3,0
699,150806,14125,3,0
637,397890,11140,4,0
730,44257,24936,4,0
744,21316,3388,4,1
677,43235,37306,3,0
676,60548,37207,2,1
713,93998,20666,4,1
678,37305,21292,2,0
696,207764,24276,2,1
804,24547,25520,2,0
687,14892,26271,5,0
682,145127,30582,3,0
667,9704,23273,3,1
737,50853,34431,4,0
690,725158,29459,4,0
667,59300,18930,3,0
766,24425,38351,5,1
770,57187,11417,3,0
669,57489,24078,2,0
606,68085,34669,3,0
750,101702,17769,5,0
665,26074,28095,3,0
739,230968,30433,3,0
601,72845,16394,3,0
744,107091,24275,2,0
639,36224,23434,4,0
736,167561,19482,5,0
700,48745,48016,2,0
652,74760,17368,3,0
679,28382,35049,3,0
734,26969,21071,4,0
705,103835,14133,4,0
729,41986,26028,4,0
798,30240,31490,2,0
621,35791,34205,5,0
780,104732,40622,4,0
705,36198,54452,3,0
655,54495,27505,5,1
633,60598,18369,3,0
690,12914,29528,3,0
746,18455,22337,5,0
693,78356,34259,2,0
775,33202,12028,5,0
627,139438,48683,4,0
699,129760,33560,5,0
637,106439,8159,4,0
718,256739,17909,4,0
744,56023,33160,5,0
678,100619,36763,5,0
569,37514,12277,4,1
709,425872,32130,3,0
721,292701,5526,5,0
720,60445,24106,2,0
761,81574,36120,4,1
646,177626,19484,3,0
734,53225,9930,5,0
759,35408,26462,5,0
611,120474,18952,3,0
715,63751,31295,2,0
674,69313,16146,4,0
695,30717,17273,5,0
717,15151,4789,2,0
675,72324,26699,4,0
666,123496,23390,2,1
701,49978,13116,4,0
645,188932,26937,4,0
645,34093,35270,2,0
733,25751,22844,4,0
642,56738,27681,5,0
733,56045,27733,5,0
723,110854,12956,2,0
613,32209,45565,2,0
666,178880,20291,4,0
759,288812,31561,4,0
650,58028,32692,2,0
676,162717,23604,3,0
723,25714,31067,2,0
739,141517,27458,3,0
687,138388,10823,3,0
670,119461,21677,2,0
771,59133,18874,2,0
786,5634,20382,2,0
748,35832,11959,3,0
704,36288,36264,5,0
659,27375,41019,5,0
658,66025,34780,2,0
726,42822,37705,2,1
720,30955,21553,4,0
770,25666,18637,4,0
732,33778,17214,4,0
624,146854,31440,2,0
752,35283,27270,5,0
650,39658,24227,5,0
680,41549,37951,2,0
712,78526,29049,2,0
799,86249,16613,3,0
855,5241,18190,3,0
730,135578,31819,5,0
690,188922,35417,4,0
726,25844,30516,5,0
744,27506,43968,3,0
683,41764,41350,5,0
789,32702,29410,3,0
711,71620,16614,3,0
724,12616,11900,4,0
733,24481,21126,4,0
721,205121,32532,3,0
741,28493,43266,2,0
669,161901,29174,4,0
672,79560,36687,3,0
644,14081,22546,2,0
721,99534,31227,2,0
738,54495,33233,5,0
722,41590,5204,5,0
783,72836,20865,4,0
